Token,Symbol,Name,exch_seg
24154,DEEDEV-EQ,DEEDEV,NSE
19322,HISARMETAL-EQ,HISARMETAL,NSE
5938,MONTECARLO-EQ,MONTECARLO,NSE
9378,TRU-EQ,TRU,NSE
7200,SHRIRAMPPS-EQ,SHRIRAMPPS,NSE
17833,AHLUCONT-EQ,AHLUCONT,NSE
11821,WELCORP-EQ,WELCORP,NSE
910,EICHERMOT-EQ,EICHERMOT,NSE
13143,GSEC10IETF-EQ,GSEC10IETF,NSE
4870,INDSWFTLAB-EQ,INDSWFTLAB,NSE
13061,360ONE-EQ,360ONE,NSE
11699,PATELENG-EQ,PATELENG,NSE
21423,MOM100-EQ,MOM100,NSE
20293,TATATECH-EQ,TATATECH,NSE
11723,JSWSTEEL-EQ,JSWSTEEL,NSE
17881,DBCORP-EQ,DBCORP,NSE
17475,NV20IETF-EQ,NV20IETF,NSE
7074,MAHKTECH-EQ,MAHKTECH,NSE
3918,NATCOPHARM-EQ,NATCOPHARM,NSE
18391,RBLBANK-EQ,RBLBANK,NSE
15419,DPSCLTD-EQ,DPSCLTD,NSE
11511,CENTEXT-EQ,CENTEXT,NSE
6705,PAYTM-EQ,PAYTM,NSE
8153,MEGASTAR-EQ,MEGASTAR,NSE
14116,GANDHITUBE-EQ,GANDHITUBE,NSE
7929,ZYDUSLIFE-EQ,ZYDUSLIFE,NSE
25584,TRITURBINE-EQ,TRITURBINE,NSE
5239,MAHAPEXLTD-EQ,MAHAPEXLTD,NSE
18119,SRGHFL-EQ,SRGHFL,NSE
17770,GROBTEA-EQ,GROBTEA,NSE
29113,CARERATING-EQ,CARERATING,NSE
19913,DMART-EQ,DMART,NSE
12847,KRISHANA-EQ,KRISHANA,NSE
2997,SANGHIIND-EQ,SANGHIIND,NSE
19761,ADFFOODS-EQ,ADFFOODS,NSE
14751,021NSETEST-EQ,021NSETEST,NSE
23855,MIDSMALL-EQ,MIDSMALL,NSE
13081,TRIVENI-EQ,TRIVENI,NSE
11522,NIITLTD-EQ,NIITLTD,NSE
22440,UTIBANKETF-EQ,UTIBANKETF,NSE
7218,SBIETFQLTY-EQ,SBIETFQLTY,NSE
827,DEEPAKFERT-EQ,DEEPAKFERT,NSE
15136,KAUSHALYA-EQ,KAUSHALYA,NSE
4953,ADROITINFO-EQ,ADROITINFO,NSE
20196,BEDMUTHA-EQ,BEDMUTHA,NSE
27161,CINELINE-EQ,CINELINE,NSE
12490,VINNY-EQ,VINNY,NSE
11325,MUKANDLTD-EQ,MUKANDLTD,NSE
7,AARTIIND-EQ,AARTIIND,NSE
9305,STARTECK-EQ,STARTECK,NSE
25328,APLLTD-EQ,APLLTD,NSE
2328,CPSEETF-EQ,CPSEETF,NSE
14174,IZMO-EQ,IZMO,NSE
